Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Afghanistan,AFG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.017788992,0.029424703,0.033100951,0.055437714,0.182464306,0.39305806,0.570591379,0.653526572,0.612869653,1.272400448,1.416737845,1.369497807,,,,,,,,,,,,,,,,,,,,,0.029134121,0.02671071,0.025411473,0.02597038,0.02213636,0.014698919,0.016123282,0.005442971,0.004973969,0.006615171,0.109810624,0.004029196,0.003168919,0.00107623,0.000811349,0.001213054,0.001830158,,
Angola,AGO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,19.01008987,8.610580095,3.938298947,9.904377832,15.76375412,14.46600329,6.419118174,16.56059136,14.87102459,22.07885335,27.89162549,16.26955467,26.59982576,31.78575058,36.25333096,38.20746488,41.24769825,35.68730596,15.8220246,37.70257946,54.55279258,36.8055997,26.26242583,23.26926746,35.24838794,44.4458947,43.30930076,46.98753249,56.14003382,31.20988251,38.54358291,39.52565089,35.24174885,30.12565191,23.0454506,10.29488886,10.19739954,15.44385904,25.61992433,,
Albania,ALB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,13.09351891,13.19478221,4.882357972,8.009187747,4.935915099,7.722814035,7.592952597,4.12546858,4.165885838,1.925519064,1.39863875,1.015689829,1.056345313,1.136509825,0.173116259,0.462285792,0.944875717,0.651207335,0.66271981,0.686668949,0.681280909,0.924210366,1.138782825,0.987865046,1.013687097,0.746209343,1.499439836,2.667459523,3.023512677,3.077879059,3.006699181,1.352409002,0.855038484,1.367728601,1.947653983,,
Andorra,AND,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,12.95403448,14.75146929,16.58213794,21.55028146,48.02669839,38.81275359,39.38817843,37.48625293,34.10287787,58.37774224,51.84694358,38.73228343,25.21933682,24.80541704,24.29419871,21.40476964,13.39505278,17.42583825,16.52350574,23.68119007,23.99086927,19.91089243,20.67597055,20.02322085,18.22303496,18.87462388,22.02460234,18.84383711,12.44578842,16.31578466,25.45344536,20.52351126,19.9661072,23.07011613,28.44075829,34.67496561,35.11799269,32.17858647,36.14933559,22.45797147,26.74703662,33.98019559,33.15673723,30.24402133,26.91730335,15.51775029,13.0643649,16.79375983,21.43461416,,
United Arab Emirates,ARE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,41.63189166,40.72081892,34.97590402,34.07180617,60.01169029,46.49933942,31.33021607,22.44080529,22.94912053,22.98208716,23.76269413,15.8707357,23.71998744,20.01222956,29.18085333,36.24012206,24.38885877,23.0928775,20.26107776,17.58508736,17.49333773,19.9192234,17.05599204,11.24126302,14.17456037,21.12666686,16.23601891,14.68305572,17.10370998,20.10749205,24.85567733,25.06409566,22.87480451,27.34149735,18.01762407,21.70274999,28.81469108,28.52824849,25.77372815,23.0413938,13.12242612,10.82636575,13.04602768,16.58907748,,
Argentina,ARG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.267910975,0.393216431,0.439781263,0.461438743,1.715636134,2.174717937,2.434261718,2.007955092,2.273469664,5.038885375,5.941851291,4.939364671,2.87381405,3.053377953,3.78422312,3.133136137,1.047072711,1.640830732,1.130983999,2.825859538,2.225373498,0.946614175,0.96496515,0.964092758,0.885701966,1.065571718,1.417673399,1.249111493,0.638569699,1.147103432,2.048580064,1.560279359,4.622750242,4.095401668,3.973044016,4.673900929,4.643301157,3.770259579,4.050828564,2.128612898,2.355276183,2.72861465,2.557942854,2.343360288,2.137436454,0.736965842,0.545772989,0.727117825,1.384393127,,
Armenia,ARM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
American Samoa,ASM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Antigua and Barbuda,ATG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
